"filename", "language", "pip requirements", "JSON", "Markdown", "Python", "Properties", "YAML", "HTML", "CSS", "XML", "JavaScript", "Batch", "PowerShell", "comment", "blank", "total"
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\eb-virt\Scripts\jp.py", "Python", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 55
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\eb-virt\Scripts\pasteurize-script.py", "Python", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 34
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\eb-virt\Scripts\pywin32_postinstall.py", "Python", 0, 0, 0, 557, 0, 0, 0, 0, 0, 0, 0, 0, 120, 95, 772
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\eb-virt\Scripts\pywin32_testall.py", "Python", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 13, 20, 120
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\eb-virt\pyvenv.cfg", "Properties", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\eb-virt\share\doc\jwcrypto\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 49
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\manage.py", "Python", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 23
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\requirements.txt", "pip requirements", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 91
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\admin.py", "Python", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\apps.py", "Python", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\auth_helper.py", "Python", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 80
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\config.cfg", "Properties", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\configure.py", "Python", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\email_alerts.py", "Python", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 58
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\forms.py", "Python", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 40
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\google.py", "Python", 0, 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 0, 187, 28, 387
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\graph.py", "Python", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 47
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\graph_helper.py", "Python", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 13, 6, 63
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\migrations\0001_initial.py", "Python", 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 106
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\migrations\0002_rename_conflict_conflict_name.py", "Python", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\migrations\0003_conflict_meeting.py", "Python", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 20
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\migrations\0004_event_event_tz.py", "Python", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\migrations\0005_attendee_required_pendingattendee_required.py", "Python", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 24
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\migrations\0006_remove_event_event_tz.py", "Python", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 18
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\migrations\0007_time.py", "Python", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 28
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\migrations\0008_delete_time.py", "Python", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 17
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\models.py", "Python", 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30, 126
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\ms_graph.py", "Python", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 44
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\numeric_search.py", "Python", 0, 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 0, 80, 13, 265
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\outlook.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 161, 1, 162
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\static\smart_scheduler\app.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 64, 10, 105
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\static\smart_scheduler\contact_page.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 151, 0, 0, 0, 0, 0, 30, 181
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\static\smart_scheduler\media\calendar.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\static\smart_scheduler\slider.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 2, 99
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\static\smart_scheduler\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1340, 0, 0, 0, 0, 4, 200, 1544
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\templates\smart_scheduler\403.html", "HTML", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\templates\smart_scheduler\404.html", "HTML", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\templates\smart_scheduler\500.html", "HTML", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\templates\smart_scheduler\about.html", "HTML", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 2, 1, 37
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\templates\smart_scheduler\accept.html", "HTML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\templates\smart_scheduler\add_attendees.html", "HTML", 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 2, 115
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\templates\smart_scheduler\base.html", "HTML", 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 57, 4, 189
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\templates\smart_scheduler\contact_confirm_delete.html", "HTML", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 26
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\templates\smart_scheduler\contact_detail.html", "HTML", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 6, 30
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\templates\smart_scheduler\contact_form.html", "HTML", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 22
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\templates\smart_scheduler\decline.html", "HTML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\templates\smart_scheduler\does_not_exist.html", "HTML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\templates\smart_scheduler\home.html", "HTML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\templates\smart_scheduler\meeting_confirm_delete.html", "HTML", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 26
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\templates\smart_scheduler\meeting_detail.html", "HTML", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\templates\smart_scheduler\meeting_form.html", "HTML", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 6, 79
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\templates\smart_scheduler\meeting_status_schedule.html", "HTML", 0, 0, 0, 0, 0, 0, 209, 0, 0, 0, 0, 0, 0, 10, 219
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\templates\smart_scheduler\rsvp.html", "HTML", 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 1, 76
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\templates\smart_scheduler\user_contacts.html", "HTML", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\templates\smart_scheduler\user_meetings.html", "HTML", 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 2, 78
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\tests.py", "Python", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\urls.py", "Python", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 14, 14, 98
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\smart_scheduler\views.py", "Python", 0, 0, 0, 462, 0, 0, 0, 0, 0, 0, 0, 0, 122, 76, 660
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\admin.py", "Python", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\apps.py", "Python", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\forms.py", "Python", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\migrations\0001_initial.py", "Python", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 26
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\migrations\0002_profile_time_end_profile_time_start_profile_timezone.py", "Python", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 29
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\migrations\0003_auto_20221011_2057.py", "Python", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 38
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\migrations\0004_remove_profile_time_end.py", "Python", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 18
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\migrations\0005_auto_20221013_1018.py", "Python", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 40
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\migrations\0006_auto_20221013_1106.py", "Python", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 24
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\migrations\0007_auto_20221013_1147.py", "Python", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 24
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\migrations\0008_alter_profile_token.py", "Python", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\models.py", "Python", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 29
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\signals.py", "Python", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\templates\users\contacts.html", "HTML", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\templates\users\login.html", "HTML", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 5, 1, 40
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\templates\users\logout.html", "HTML", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 17
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\templates\users\password_reset.html", "HTML", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\templates\users\password_reset_confirm.html", "HTML", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\templates\users\password_reset_done.html", "HTML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\templates\users\profile.html", "HTML", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 1, 0, 49
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\templates\users\register.html", "HTML", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 54
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\tests.py", "Python", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\users\views.py", "Python", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
"Total", "-", 55, 1, 67, 1065, 3, 23, 165, 316, 0, 0, 41, 108, 610, 295, 2749